Name,Hometown,Occupation,Season,Elimination,Age,AgeDiff
"Gina Marie
","Fort Lauderdale, Florida
","Bartender
",7,2,28.0,20.0
"Megan
","Tallahassee, Florida
","Retail Marketing
",7,2,23.0,25.0
"Brenda
","New York City, New York
","Sales Coordinator
",7,1,26.0,22.0
"Danuska
","Los Angeles, California
","Runway Model
",7,1,30.0,18.0
"Debby
","Thornhill, Ontario
","Flight Attendant
",7,1,25.0,23.0
"Emilie
","Chicago, Illinois
","Technology Sales
",7,1,27.0,21.0
"Geitan
","Newport Beach, California
","Realtor
",7,1,30.0,18.0
"Kristina
","Brooklyn, New York
","Writer
",7,1,27.0,21.0
"Kristine
","Fairfax Station, Virginia
","Bikini Model
",7,1,23.0,25.0
"Kyshawn
","Nashville, Tennessee
","Bartender
",7,1,30.0,18.0
"Siomara
","Chicago, Illinois
","Loan Officer
",7,1,25.0,23.0
"Valerie
","Wayne, New Jersey
","Executive Assistant
",7,1,28.0,20.0
Jennifer Wilson,"Pembroke Pines, Florida",Teacher,9,8,24.0,29.0
Sadie Murray,"Carlsbad, California",Publicist,9,7,23.0,30.0
Lisa Blank,"Portland, Oregon",Marketing manager,9,6,25.0,28.0
Agnese Polliza,"Venice, Italy",Student,9,5,24.0,29.0
Jeanette Pawula,"Bloomingdale, Illinois",Teacher,9,4,23.0,30.0
Desiree Valentin,"Salt Lake City, Utah",Realtor,9,4,22.0,31.0
Jami Matzke,"Galveston, Texas",Event planner,9,3,27.0,26.0
Gina Clark,"Chicago, Illinois",Ultrasound technician,9,3,28.0,25.0
Erica Rose,"Houston, Texas",Socialite,9,3,23.0,30.0
Sarah Schnare,"Nelson, British Columbia",Journalist,9,2,30.0,23.0
Kim Jackson,"Newport Beach, California",Interior designer,9,2,27.0,26.0
Ellen DeMaio,"New Haven, Connecticut",Realtor,9,2,30.0,23.0
April Jacobs,"Chicago, Illinois",Model,9,1,23.0,30.0
Andrea Shirley,"Cincinnati, Ohio",Hotel concierge,9,1,28.0,25.0
Brit Keeder,"Columbus, Ohio",Beer chemist,9,1,28.0,25.0
Carissa Ilburg,"Cattaraugus, New York",Attorney,9,1,25.0,28.0
Claudia Gismondi,"Boca Raton, Florida",Restauranteur,9,1,22.0,31.0
Elyse Hammer,"New York, New York",Physician,9,1,27.0,26.0
Heather Sneed,"Aliquippa, Pennsylvania",Registered nurse,9,1,34.0,19.0
Jessica Horner,"Charlotte, North Carolina",Assistant buyer,9,1,25.0,28.0
Laura Morgan,"San Diego, California",Dolphin trainer,9,1,29.0,24.0
Meri Barr,"Biloxi, Mississippi",Attorney,9,1,27.0,26.0
Renée Snell,"Baltimore, Maryland",Broadcast marketer,9,1,30.0,23.0
Rita Ghazal,"Richmond, Virginia",Policy advisor,9,1,29.0,24.0
Rosella Fratto,"Chicago, Illinois",Make-up artist,9,1,27.0,26.0
Tara Durr,"St. Augustine, Florida",Realtor,9,1,25.0,28.0
